Month,Force,Neighbourhood,All crime and ASB,Burglary,Anti-social behaviour,Robbery,Vehicle crime,Violent crime,Public Disorder and Weapons,Shoplifting,Criminal damage and Arson,Other Theft,Drugs,Other crime
2012-03,Cumbria Constabulary,GARS07,33,3,20,0,1,2,1,0,1,4,0,1
2012-03,Cumbria Constabulary,GARS06,99,1,52,0,2,11,1,9,8,12,3,0
2012-03,Cumbria Constabulary,GARS05,66,1,44,0,1,3,4,0,2,7,1,3
2012-03,Cumbria Constabulary,GARS04,88,4,52,0,5,8,1,0,13,3,1,1
2012-03,Cumbria Constabulary,GARS03,119,6,64,0,2,21,4,2,11,5,2,2
2012-03,Cumbria Constabulary,GARS02,125,10,60,0,1,21,2,2,18,9,2,0
2012-03,Cumbria Constabulary,GARS01,407,10,233,0,9,47,8,31,30,20,15,4
2012-03,Cumbria Constabulary,GARY01,7,0,6,0,0,0,0,0,1,0,0,0
2012-03,Cumbria Constabulary,GARS09,85,2,51,0,2,6,2,5,10,6,1,0
2012-03,Cumbria Constabulary,GARS08,30,3,13,0,4,3,0,0,1,4,2,0
2012-03,Cumbria Constabulary,GARZ05,10,0,5,0,0,0,0,1,1,2,1,0
2012-03,Cumbria Constabulary,GARX10,83,1,55,0,1,6,3,1,6,5,4,1
2012-03,Cumbria Constabulary,GARU10,48,3,25,0,2,3,1,0,5,7,1,1
2012-03,Cumbria Constabulary,GARU01,141,1,73,0,4,26,2,3,19,5,7,1
2012-03,Cumbria Constabulary,GARU03,240,15,105,0,13,25,6,17,24,16,14,5
2012-03,Cumbria Constabulary,GARU02,158,8,72,0,4,25,3,4,24,5,10,3
2012-03,Cumbria Constabulary,GARU07,54,3,27,0,1,4,0,5,1,13,0,0
2012-03,Cumbria Constabulary,GARU09,61,7,27,0,3,4,0,1,13,1,5,0
2012-03,Cumbria Constabulary,GARU08,62,1,36,0,1,4,5,1,6,3,3,2
2012-03,Cumbria Constabulary,GARV05,202,3,111,0,1,18,8,12,16,18,11,4
2012-03,Cumbria Constabulary,GARV02,93,2,52,0,1,6,0,5,14,7,2,4
2012-03,Cumbria Constabulary,GARV03,117,3,65,1,1,15,4,7,11,6,4,0
2012-03,Cumbria Constabulary,GARV01,126,9,61,0,3,14,4,2,18,9,3,3
2012-03,Cumbria Constabulary,GARV04,71,2,34,0,1,11,1,1,10,4,7,0
2012-03,Cumbria Constabulary,GARX01,40,0,24,0,1,1,2,5,2,4,0,1
2012-03,Cumbria Constabulary,GARX04,123,7,67,0,4,11,2,4,14,10,2,2
2012-03,Cumbria Constabulary,GARX05,122,3,52,0,10,21,3,3,16,8,4,2
2012-03,Cumbria Constabulary,GARX06,42,1,24,0,4,2,0,0,6,2,2,1
2012-03,Cumbria Constabulary,GARX07,97,0,62,0,2,6,3,0,12,9,0,3
2012-03,Cumbria Constabulary,GARY09,34,2,18,0,4,0,0,1,6,2,1,0
2012-03,Cumbria Constabulary,GARY08,152,2,84,0,3,15,8,7,16,9,6,2
2012-03,Cumbria Constabulary,GARX02,64,3,37,0,7,2,1,1,7,3,2,1
2012-03,Cumbria Constabulary,GARX03,281,3,123,0,0,30,28,59,13,10,10,5
2012-03,Cumbria Constabulary,GARY05,32,1,14,0,1,1,0,0,5,10,0,0
2012-03,Cumbria Constabulary,GARY04,53,5,26,0,2,2,4,0,8,4,0,2
2012-03,Cumbria Constabulary,GARY07,22,3,6,0,3,1,0,0,1,4,2,2
2012-03,Cumbria Constabulary,GARY06,21,0,11,0,5,0,0,0,2,3,0,0
2012-03,Cumbria Constabulary,GARX08,120,3,64,0,2,13,8,4,11,11,4,0
2012-03,Cumbria Constabulary,GARX09,97,0,54,0,2,9,0,4,19,6,2,1
2012-03,Cumbria Constabulary,GARY03,43,8,14,0,5,5,4,0,2,4,1,0
2012-03,Cumbria Constabulary,GARY02,37,2,19,0,2,6,2,0,2,2,1,1
2012-03,Cumbria Constabulary,GARZ04,46,4,24,0,2,3,2,0,1,6,1,3
2012-03,Cumbria Constabulary,GARU11,38,0,20,0,5,7,0,0,3,1,1,1
2012-03,Cumbria Constabulary,GARZ02,224,10,119,0,4,19,4,9,30,18,5,6
2012-03,Cumbria Constabulary,GARZ03,19,6,3,0,0,6,0,1,1,1,1,0
2012-03,Cumbria Constabulary,GARZ01,111,2,71,0,2,4,2,2,15,8,1,4
