Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2012-03,Cumbria Constabulary,Cumbria Constabulary,351534,492353,On or near Dowker'S Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299210,528515,On or near Supermarket,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351183,492741,On or near Serpentine Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301277,524712,On or near Hallwood Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299416,527779,On or near Sports/Recreation Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,361096,478662,On or near Chapel Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,346916,550082,On or near Sports/Recreation Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325526,548453,On or near Supermarket,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320790,469147,On or near Gateshead Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300018,526934,On or near Further/Higher Educational Building,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342184,553583,On or near Police Station,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338094,568499,On or near Albert Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,298841,524970,On or near Parking Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320999,469277,On or near Brook Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323203,474515,On or near Baker Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340514,552419,On or near Mayfield,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340847,555894,On or near Aglionby Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,353974,561022,On or near Station Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,345974,559894,On or near Petrol Station,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351438,492184,On or near Parking Area,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340485,555636,On or near Cecil Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319627,471154,On or near Pine Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317207,480432,On or near Finch Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302324,533607,On or near Wedgwood Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297805,518913,On or near Earl'S Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,361741,481667,On or near Scaleber Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,361912,478126,On or near Chapelhouse Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341131,553681,On or near Manor Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301348,530633,On or near Ling Beck Crescent,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297036,516529,On or near Brakeside Gardens,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337800,555771,On or near Low Meadow,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,310981,553569,On or near Nightclub,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342242,555807,On or near Eden Park Crescent,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,353202,492825,On or near Sedbergh Road,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303822,517154,On or near Dyke Nook,Burglary,
