Month,Force,Neighbourhood,All crime and ASB,Burglary,Anti-social behaviour,Robbery,Vehicle crime,Violent crime,Public Disorder and Weapons,Shoplifting,Criminal damage and Arson,Other Theft,Drugs,Other crime
2011-09,Cumbria Constabulary,GARS07,41,3,18,0,3,2,1,2,2,7,1,2
2011-09,Cumbria Constabulary,GARS06,141,3,39,0,2,16,2,7,54,11,4,3
2011-09,Cumbria Constabulary,GARS05,56,0,36,0,1,11,0,0,4,4,0,0
2011-09,Cumbria Constabulary,GARS04,82,2,50,0,1,11,3,1,9,4,1,0
2011-09,Cumbria Constabulary,GARS03,119,4,56,0,7,19,2,3,12,8,5,3
2011-09,Cumbria Constabulary,GARS02,90,2,53,0,1,10,2,2,11,4,1,4
2011-09,Cumbria Constabulary,GARS01,360,8,194,0,3,48,17,25,27,24,7,7
2011-09,Cumbria Constabulary,GARY01,11,2,3,0,0,3,0,0,3,0,0,0
2011-09,Cumbria Constabulary,GARS09,108,7,56,0,3,12,1,5,14,7,2,1
2011-09,Cumbria Constabulary,GARS08,20,1,5,0,2,0,1,1,1,7,0,2
2011-09,Cumbria Constabulary,GARZ05,21,3,8,0,0,2,1,0,1,3,3,0
2011-09,Cumbria Constabulary,GARX10,106,7,61,0,3,6,5,5,12,5,2,0
2011-09,Cumbria Constabulary,GARU10,40,2,16,0,2,4,0,1,4,10,1,0
2011-09,Cumbria Constabulary,GARU01,169,8,79,0,5,11,5,5,29,10,16,1
2011-09,Cumbria Constabulary,GARU03,265,9,126,0,10,18,10,29,25,19,18,1
2011-09,Cumbria Constabulary,GARU02,144,5,64,0,8,16,2,0,26,9,11,3
2011-09,Cumbria Constabulary,GARU07,54,2,21,0,0,8,0,2,10,6,5,0
2011-09,Cumbria Constabulary,GARU09,62,4,26,0,1,11,1,0,9,5,4,1
2011-09,Cumbria Constabulary,GARU08,60,1,29,0,1,6,2,2,8,4,7,0
2011-09,Cumbria Constabulary,GARV05,191,5,91,0,7,23,6,10,25,12,9,3
2011-09,Cumbria Constabulary,GARV02,100,5,65,0,0,9,3,0,13,4,1,0
2011-09,Cumbria Constabulary,GARV03,95,1,50,0,8,7,1,0,20,5,3,0
2011-09,Cumbria Constabulary,GARV01,76,6,32,0,1,7,0,0,10,13,6,1
2011-09,Cumbria Constabulary,GARV04,72,8,23,0,1,9,2,1,22,4,1,1
2011-09,Cumbria Constabulary,GARX01,25,2,13,0,0,1,0,6,0,1,0,2
2011-09,Cumbria Constabulary,GARX04,129,6,72,0,0,17,7,2,11,6,3,5
2011-09,Cumbria Constabulary,GARX05,127,4,71,0,4,9,4,2,18,6,5,4
2011-09,Cumbria Constabulary,GARX06,53,0,30,0,1,7,2,1,5,3,2,2
2011-09,Cumbria Constabulary,GARX07,111,1,58,0,4,10,1,1,26,5,4,1
2011-09,Cumbria Constabulary,GARY09,43,4,17,0,2,2,2,0,6,7,1,2
2011-09,Cumbria Constabulary,GARY08,160,4,77,1,5,18,7,5,21,6,10,6
2011-09,Cumbria Constabulary,GARX02,47,5,26,0,2,3,0,0,5,5,0,1
2011-09,Cumbria Constabulary,GARX03,296,0,134,0,4,28,28,56,11,18,9,8
2011-09,Cumbria Constabulary,GARY05,28,2,11,0,1,3,1,1,2,6,1,0
2011-09,Cumbria Constabulary,GARY04,62,10,19,0,13,2,1,0,6,8,1,2
2011-09,Cumbria Constabulary,GARY07,29,2,8,0,4,2,0,0,1,9,2,1
2011-09,Cumbria Constabulary,GARY06,31,3,11,0,0,5,1,0,2,8,1,0
2011-09,Cumbria Constabulary,GARX08,128,1,66,1,1,12,4,8,22,9,3,1
2011-09,Cumbria Constabulary,GARX09,100,0,56,2,2,10,1,6,12,5,4,2
